0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:11 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:27 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:27 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:28 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:28 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:28 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:28 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:28 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:28 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:41 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:41 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:40:42 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:41:02 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:41:02 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:41:25 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:41:25 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:46:48 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:46:48 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:47:14 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:47:14 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:02 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:02 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:29 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:29 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:30 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:30 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:30 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:30 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:31 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:31 +0530] "GET /MyFrontEndDemo/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:48:31 +0530] "GET /MyFrontEndDemo/index.html HTTP/1.1" 304 -
